271.39,7.6045
277.59,7.5797
287.65,7.51
288.15,7.5073
288.71,7.5232
290.49,7.5179
293.15,7.4913
293.15,7.4913
298.15,7.498
299.1,7.478
299.82,7.4547
306.35,7.466
310.93,7.466
314.1,7.438
322.04,7.3868
322.54,7.3536
323.15,7.3515
333.15,7.3448
333.5,7.296
339.77,7.2909
344.26,7.2649
354.3,7.2373
355.37,7.1863
359.03,7.1797
366.48,7.1624
373.15,7.121
374.1,7.0851
376.94,7.0904
377.59,7.0698
388.71,7.0613
393.13,7.0016
393.4,6.9852
399.82,6.9886
406.6,6.912
410.93,6.88
422.04,6.8192
422.8,6.8192
425.7,6.8294
433.15,6.8121
441.21,6.7573
444.26,6.7322
453.15,6.6944
455.37,6.6723
466.48,6.6304
477.59,6.5664
488.71,6.5024
499.82,6.4362
510.93,6.3701
522.04,6.3029
533.15,6.2357
544.26,6.1664
555.37,6.097
566.48,6.0256
577.59,5.953
588.71,5.8794
599.82,5.8048
610.93,5.729
622.04,5.6512
633.15,5.5722
644.26,5.4901
655.37,5.4069
666.48,5.3216
